" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Mg-Ka Chi2" ," Mg-Ka Area" ," Mg-Ka AreaStd" ," Mg-Ka cps" ," Mg-Ka cpsStd" ," Al-Ka Chi2" ," Al-Ka Area" ," Al-Ka AreaStd" ," Al-Ka cps" ," Al-Ka cpsStd" ," Si-Ka Chi2" ," Si-Ka Area" ," Si-Ka AreaStd" ," Si-Ka cps" ," Si-Ka cpsStd" ," P -Ka Chi2" ," P -Ka Area" ," P -Ka AreaStd" ," P -Ka cps" ," P -Ka cpsStd" ," S -Ka Chi2" ," S -Ka Area" ," S -Ka AreaStd" ," S -Ka cps" ," S -Ka cpsStd" ," Cl-Ka Chi2" ," Cl-Ka Area" ," Cl-Ka AreaStd" ," Cl-Ka cps" ," Cl-Ka cpsStd" ," Ar-Ka Chi2" ," Ar-Ka Area" ," Ar-Ka AreaStd" ," Ar-Ka cps" ," Ar-Ka cpsStd" ," K -Ka Chi2" ," K -Ka Area" ," K -Ka AreaStd" ," K -Ka cps" ," K -Ka cpsStd" ," Ca-Ka Chi2" ," Ca-Ka Area" ," Ca-Ka AreaStd" ," Ca-Ka cps" ," Ca-Ka cpsStd" ," Ti-Ka Chi2" ," Ti-Ka Area" ," Ti-Ka AreaStd" ," Ti-Ka cps" ," Ti-Ka cpsStd" ," V -Ka Chi2" ," V -Ka Area" ," V -Ka AreaStd" ," V -Ka cps" ," V -Ka cpsStd" ," Cr-Ka Chi2" ," Cr-Ka Area" ," Cr-Ka AreaStd" ," Cr-Ka cps" ," Cr-Ka cpsStd" ," Mn-Ka Chi2" ," Mn-Ka Area" ," Mn-Ka AreaStd" ," Mn-Ka cps" ," Mn-Ka cpsStd" ," Fe-Ka Chi2" ," Fe-Ka Area" ," Fe-Ka AreaStd" ," Fe-Ka cps" ," Fe-Ka cpsStd" ," Co-Ka Chi2" ," Co-Ka Area" ," Co-Ka AreaStd" ," Co-Ka cps" ," Co-Ka cpsStd" ," Ni-Ka Chi2" ," Ni-Ka Area" ," Ni-Ka AreaStd" ," Ni-Ka cps" ," Ni-Ka cpsStd" ," Cu-Ka Chi2" ," Cu-Ka Area" ," Cu-Ka AreaStd" ," Cu-Ka cps" ," Cu-Ka cpsStd" ," Rh-La-Inc Chi2" ," Rh-La-Inc Area" ," Rh-La-Inc AreaStd" ," Rh-La-Inc cps" ," Rh-La-Inc cpsStd" ," Rh-La-Coh Chi2" ," Rh-La-Coh Area" ," Rh-La-Coh AreaStd" ," Rh-La-Coh cps" ," Rh-La-Coh cpsStd" ," Ba-La Chi2" ," Ba-La Area" ," Ba-La AreaStd" ," Ba-La cps" ," Ba-La cpsStd" 
ZH19-35!0!0!  53.0!2019-09-10!16-43-35!15!10!1500!53.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  53.0,53.0,15,51,XRay Tube Generator,6.34E+05,0.3,359,80,23.9,5.3,2.7,4801,109,320.1,7.3,55.8,108872,348,7258.13,23.22,1.0,2929,177,195.27,11.81,69.7,19719,260,1314.62,17.30,9.9,17654,532,1176.91,35.44,6.3,22399,730,1493.30,48.68,22.4,25472,390,1698.11,26.03,254.3,3673423,1884,244894.895,125.630,0.5,6458,592,430.53,39.47,1.1,-1728,476,-115.17,31.76,3.0,7917,486,527.81,32.43,0.6,6546,501,436.40,33.39,5.2,101107,681,6740.45,45.43,0.7,4,533,0.24,35.50,30.8,-3173,752,-211.55,50.14,1.2,6391,508,426.04,33.84,0.0,-18684,1,-1245.569,0.037,2.9,447453,854,29830.23,56.91,0.4,8725,473,581.68,31.54
ZH19-35!0!0!  55.0!2019-09-10!16-44-45!15!10!1500!55.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  55.0,55.0,15,60,XRay Tube Generator,7.29E+05,0.5,374,82,25.0,5.5,5.4,5629,116,375.3,7.7,178.2,123275,371,8218.33,24.76,2.3,3407,193,227.13,12.88,83.6,16714,258,1114.27,17.19,21.3,20053,536,1336.86,35.74,4.9,22125,743,1474.99,49.56,25.2,30992,405,2066.15,27.02,435.1,4865872,2149,324391.443,143.290,0.4,8191,584,546.10,38.93,1.1,-1572,465,-104.80,30.99,3.9,5932,477,395.47,31.78,1.0,6647,485,443.13,32.32,2.2,116269,681,7751.24,45.38,0.8,161,525,10.75,34.97,56.5,-4803,880,-320.20,58.66,0.7,6300,494,419.99,32.92,0.0,-25559,1,-1703.940,0.037,9.6,417401,839,27826.71,55.92,0.6,4894,465,326.28,31.01
ZH19-35!0!0!  60.0!2019-09-10!16-45-55!15!10!1500!60.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  60.0,60.0,15,59,XRay Tube Generator,7.22E+05,1.0,533,82,35.5,5.5,9.3,6474,120,431.6,8.0,213.5,109198,350,7279.84,23.36,2.2,2696,208,179.75,13.86,24.5,17586,313,1172.42,20.90,9.9,25384,555,1692.25,36.99,3.8,19678,661,1311.85,44.10,21.6,34943,407,2329.55,27.14,445.4,5060762,2185,337384.129,145.690,0.7,9553,521,636.87,34.76,1.0,-1187,440,-79.15,29.35,2.1,5970,458,397.98,30.55,1.4,2974,462,198.28,30.78,2.7,114463,653,7630.89,43.56,1.0,46,508,3.09,33.84,51.0,-4851,751,-323.37,50.08,0.8,4799,472,319.91,31.44,14.6,-8797,808,-586.47,53.89,14.0,393885,825,26259.01,55.03,1.2,2321,409,154.73,27.29
ZH19-35!0!0!  65.0!2019-09-10!16-47-03!15!10!1500!65.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  65.0,65.0,15,59,XRay Tube Generator,7.20E+05,0.9,477,83,31.8,5.5,11.9,6346,121,423.1,8.1,196.0,110822,355,7388.11,23.68,1.7,4937,216,329.17,14.42,22.2,20030,335,1335.35,22.33,6.0,27693,641,1846.22,42.72,7.2,25339,939,1689.28,62.61,23.5,37406,450,2493.71,29.98,438.2,4985481,2172,332365.432,144.805,0.7,9514,561,634.28,37.42,1.1,-718,451,-47.83,30.04,1.6,6328,461,421.90,30.71,1.7,4169,465,277.92,30.98,3.9,130400,673,8693.34,44.84,1.0,447,509,29.81,33.93,43.2,-2743,819,-182.85,54.61,0.8,4795,472,319.69,31.47,9.9,-20404,1228,-1360.28,81.86,9.8,400330,887,26688.67,59.14,0.6,2416,445,161.05,29.68
ZH19-35!0!0!  70.0!2019-09-10!16-48-14!15!10!1500!70.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  70.0,70.0,15,63,XRay Tube Generator,7.59E+05,7.3,1097,80,73.2,5.3,14.1,7791,128,519.4,8.5,227.4,126026,377,8401.71,25.15,1.8,3980,199,265.32,13.25,0.9,25078,501,1671.85,33.43,7.5,23989,551,1599.27,36.73,6.2,17584,739,1172.25,49.30,23.8,43990,428,2932.65,28.53,466.7,5274073,2233,351604.847,148.896,1.6,11494,576,766.26,38.39,1.1,-41,456,-2.73,30.38,2.6,6698,468,446.51,31.22,0.9,4071,470,271.41,31.32,2.8,142458,691,9497.18,46.08,1.0,-497,518,-33.10,34.55,51.5,-4267,904,-284.44,60.30,1.0,5261,480,350.76,31.99,12.1,-7907,383,-527.12,25.56,10.8,411423,833,27428.22,55.53,1.7,1989,455,132.60,30.32
ZH19-35!0!0!  75.0!2019-09-10!16-49-32!15!10!1500!75.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  75.0,75.0,15,69,XRay Tube Generator,8.07E+05,8.8,1761,81,117.4,5.4,19.9,10119,137,674.6,9.1,261.3,147223,403,9814.89,26.87,0.9,3106,210,207.04,13.97,37.1,26454,335,1763.58,22.37,8.5,28885,595,1925.65,39.65,5.8,23141,746,1542.74,49.70,22.8,54047,510,3603.12,33.97,544.1,5594511,2300,372967.417,153.315,0.8,15420,544,1028.02,36.25,1.1,-1102,451,-73.48,30.10,4.0,6751,477,450.06,31.80,2.4,4955,475,330.33,31.70,4.3,180067,725,12004.50,48.33,4.9,-5358,529,-357.19,35.26,70.5,-2897,796,-193.15,53.05,1.4,6401,488,426.72,32.54,13.0,-25607,1003,-1707.12,66.88,9.4,432428,881,28828.56,58.76,1.0,2607,422,173.80,28.16
ZH19-35!0!0!  80.0!2019-09-10!16-50-52!15!10!1500!80.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  80.0,80.0,15,71,XRay Tube Generator,8.23E+05,13.6,1839,81,122.6,5.4,20.6,10858,139,723.9,9.3,258.0,152582,410,10172.12,27.31,0.6,3812,212,254.16,14.15,51.6,26490,336,1765.97,22.38,6.1,28125,596,1874.99,39.72,9.6,25855,765,1723.67,50.98,21.1,59465,536,3964.34,35.71,549.0,5630399,2310,375359.900,154.019,0.3,15831,553,1055.41,36.84,1.4,-712,459,-47.45,30.60,5.2,8092,485,539.48,32.35,3.9,4691,482,312.76,32.16,5.8,189612,740,12640.78,49.36,4.5,-5097,538,-339.82,35.85,76.4,-4105,804,-273.65,53.60,1.3,6537,495,435.80,33.01,16.7,-27697,1017,-1846.50,67.78,10.5,448562,892,29904.11,59.49,0.4,2515,429,167.68,28.63
ZH19-35!0!0!  85.0!2019-09-10!16-52-12!15!10!1500!85.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  85.0,85.0,15,72,XRay Tube Generator,8.28E+05,11.2,1676,81,111.7,5.4,19.1,10985,141,732.3,9.4,197.4,154254,412,10283.58,27.45,0.8,3635,207,242.34,13.77,60.1,32782,349,2185.45,23.27,4.9,30009,616,2000.57,41.04,7.0,25049,799,1669.96,53.25,27.4,64899,559,4326.60,37.27,531.5,5437527,2276,362501.830,151.744,0.7,18847,569,1256.48,37.93,1.4,-1133,471,-75.51,31.38,3.2,10515,498,701.00,33.19,2.9,4927,494,328.48,32.95,6.9,241768,789,16117.87,52.63,3.1,-4671,550,-311.41,36.66,69.1,-4807,800,-320.48,53.33,1.6,6377,503,425.14,33.56,19.8,-34163,1062,-2277.53,70.83,6.1,490887,938,32725.83,62.56,0.7,2292,441,152.81,29.37
ZH19-35!0!0!  90.0!2019-09-10!16-53-25!15!10!1500!90.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  90.0,90.0,15,64,XRay Tube Generator,7.59E+05,5.1,1065,82,71.0,5.5,9.6,8113,131,540.9,8.7,134.1,128362,378,8557.48,25.21,2.1,3182,191,212.13,12.75,71.1,28902,343,1926.82,22.87,8.9,25213,651,1680.90,43.38,2.7,20490,793,1366.00,52.85,30.2,55179,489,3678.59,32.63,396.1,4759628,2135,317308.533,142.325,0.8,17170,572,1144.68,38.14,1.1,-324,474,-21.61,31.59,2.4,9166,491,611.07,32.75,1.9,4302,494,286.79,32.92,4.1,230247,777,15349.82,51.81,1.9,-3372,545,-224.77,36.32,50.8,-6286,753,-419.04,50.17,0.9,7030,499,468.68,33.25,23.2,-19424,1152,-1294.93,76.78,8.9,491483,991,32765.54,66.10,0.7,2527,444,168.50,29.59
ZH19-35!0!0!  95.0!2019-09-10!16-54-42!15!10!1500!95.0!0.0!No-Filter!5.0!12.0!Run1!Rep0!Sett Low.spe,  95.0,95.0,15,69,XRay Tube Generator,8.03E+05,13.6,1691,81,112.7,5.4,13.7,9908,135,660.5,9.0,175.2,143149,397,9543.30,26.48,1.0,3419,199,227.96,13.25,75.5,28675,344,1911.70,22.96,5.7,29631,633,1975.42,42.21,7.3,26576,791,1771.72,52.74,27.0,58522,512,3901.47,34.16,466.2,5221168,2231,348077.846,148.708,1.6,17510,572,1167.30,38.13,1.1,171,473,11.38,31.54,4.1,8885,494,592.32,32.90,2.0,4167,492,277.77,32.79,4.3,226415,776,15094.31,51.72,2.5,-4146,546,-276.39,36.41,58.3,-4772,783,-318.10,52.23,1.3,6509,502,433.90,33.44,22.0,-32803,1111,-2186.88,74.09,7.4,484215,963,32281.00,64.21,1.3,2411,443,160.71,29.55
