" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," K -Ka Chi2" ," K -Ka Area" ," K -Ka AreaStd" ," K -Ka cps" ," K -Ka cpsStd" ," Ca-Ka Chi2" ," Ca-Ka Area" ," Ca-Ka AreaStd" ," Ca-Ka cps" ," Ca-Ka cpsStd" ," Sc-Ka Chi2" ," Sc-Ka Area" ," Sc-Ka AreaStd" ," Sc-Ka cps" ," Sc-Ka cpsStd" ," Ti-Ka Chi2" ," Ti-Ka Area" ," Ti-Ka AreaStd" ," Ti-Ka cps" ," Ti-Ka cpsStd" ," V -Ka Chi2" ," V -Ka Area" ," V -Ka AreaStd" ," V -Ka cps" ," V -Ka cpsStd" ," Cr-Ka Chi2" ," Cr-Ka Area" ," Cr-Ka AreaStd" ," Cr-Ka cps" ," Cr-Ka cpsStd" ," Mn-Ka Chi2" ," Mn-Ka Area" ," Mn-Ka AreaStd" ," Mn-Ka cps" ," Mn-Ka cpsStd" ," Fe-Ka Chi2" ," Fe-Ka Area" ," Fe-Ka AreaStd" ," Fe-Ka cps" ," Fe-Ka cpsStd" ," Co-Ka Chi2" ," Co-Ka Area" ," Co-Ka AreaStd" ," Co-Ka cps" ," Co-Ka cpsStd" ," Ni-Ka Chi2" ," Ni-Ka Area" ," Ni-Ka AreaStd" ," Ni-Ka cps" ," Ni-Ka cpsStd" ," Cu-Ka Chi2" ," Cu-Ka Area" ," Cu-Ka AreaStd" ," Cu-Ka cps" ," Cu-Ka cpsStd" ," Zn-Ka Chi2" ," Zn-Ka Area" ," Zn-Ka AreaStd" ," Zn-Ka cps" ," Zn-Ka cpsStd" ," Ga-Ka Chi2" ," Ga-Ka Area" ," Ga-Ka AreaStd" ," Ga-Ka cps" ," Ga-Ka cpsStd" ," As-Ka Chi2" ," As-Ka Area" ," As-Ka AreaStd" ," As-Ka cps" ," As-Ka cpsStd" ," Br-Ka Chi2" ," Br-Ka Area" ," Br-Ka AreaStd" ," Br-Ka cps" ," Br-Ka cpsStd" ," Rb-Ka Chi2" ," Rb-Ka Area" ," Rb-Ka AreaStd" ," Rb-Ka cps" ," Rb-Ka cpsStd" ," Sr-Ka Chi2" ," Sr-Ka Area" ," Sr-Ka AreaStd" ," Sr-Ka cps" ," Sr-Ka cpsStd" ," Y -Ka Chi2" ," Y -Ka Area" ," Y -Ka AreaStd" ," Y -Ka cps" ," Y -Ka cpsStd" ," Zr-Ka Chi2" ," Zr-Ka Area" ," Zr-Ka AreaStd" ," Zr-Ka cps" ," Zr-Ka cpsStd" ," Mo-Ka Chi2" ," Mo-Ka Area" ," Mo-Ka AreaStd" ," Mo-Ka cps" ," Mo-Ka cpsStd" ," Rh-Ka-Coh Chi2" ," Rh-Ka-Coh Area" ," Rh-Ka-Coh AreaStd" ," Rh-Ka-Coh cps" ," Rh-Ka-Coh cpsStd" ," Rh-Ka-Inc Chi2" ," Rh-Ka-Inc Area" ," Rh-Ka-Inc AreaStd" ," Rh-Ka-Inc cps" ," Rh-Ka-Inc cpsStd" ," Rh-La-Coh Chi2" ," Rh-La-Coh Area" ," Rh-La-Coh AreaStd" ," Rh-La-Coh cps" ," Rh-La-Coh cpsStd" ," Hg-La Chi2" ," Hg-La Area" ," Hg-La AreaStd" ," Hg-La cps" ," Hg-La cpsStd" ," Pb-La Chi2" ," Pb-La Area" ," Pb-La AreaStd" ," Pb-La cps" ," Pb-La cpsStd" ," U -La Chi2" ," U -La Area" ," U -La AreaStd" ," U -La cps" ," U -La cpsStd" 
ZH19-35!0!0!  53.0!2019-09-10!21-26-47!40!30!2000!53.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  53.0,53.0,40,62,XRay Tube Generator,1.14E+05,1.4,622,74,15.6,1.8,17.2,106355,324,2658.9,8.1,30.0,1153,99,28.8,2.5,1.1,878,66,21.9,1.7,3.4,240,58,6.0,1.4,0.3,180,55,4.5,1.4,0.9,1088,64,27.2,1.6,1.4,23187,161,579.7,4.0,1.6,294,65,7.3,1.6,1.1,23204,175,580.1,4.4,1.1,1548,72,38.7,1.8,0.4,1990,74,49.7,1.9,0.3,127,58,3.2,1.5,1.6,187,116,4.7,2.9,0.5,599,84,15.0,2.1,0.6,755,110,18.9,2.8,1.1,21208,215,530.2,5.4,0.6,853,204,21.3,5.1,0.5,2702,287,67.5,7.2,0.6,871,462,21.77,11.56,1.4,111115,826,2777.87,20.65,2.0,388114,1468,9702.85,36.69,0.0,4158,1695,103.95,42.37,1.0,82,60,2.1,1.5,1.4,788,100,19.7,2.5,0.6,109,119,2.7,3.0
ZH19-35!0!0!  55.0!2019-09-10!21-27-54!40!30!2000!55.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  55.0,55.0,40,58,XRay Tube Generator,9.66E+04,0.8,635,71,15.9,1.8,23.9,146285,375,3657.1,9.4,47.4,1594,104,39.8,2.6,0.6,633,59,15.8,1.5,1.4,318,52,8.0,1.3,0.4,193,51,4.8,1.3,1.3,1111,62,27.8,1.5,1.2,29713,177,742.8,4.4,2.7,438,63,11.0,1.6,1.7,21442,169,536.0,4.2,2.3,1674,69,41.8,1.7,0.7,2684,76,67.1,1.9,0.8,170,55,4.2,1.4,0.8,150,112,3.7,2.8,0.8,1230,82,30.7,2.1,0.3,1259,107,31.5,2.7,1.6,34850,240,871.3,6.0,0.7,519,183,13.0,4.6,0.7,3275,264,81.9,6.6,0.6,1037,415,25.94,10.37,1.7,105409,754,2635.23,18.85,2.3,309659,1316,7741.47,32.91,0.0,4621,1651,115.52,41.27,0.9,53,56,1.3,1.4,0.8,1141,96,28.5,2.4,0.2,99,111,2.5,2.8
ZH19-35!0!0!  60.0!2019-09-10!21-28-55!40!30!2000!60.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  60.0,60.0,40,53,XRay Tube Generator,7.38E+04,1.2,855,68,21.4,1.7,24.8,173326,405,4333.14,10.13,52.1,1403,102,35.1,2.6,0.9,614,54,15.4,1.4,0.7,168,44,4.2,1.1,0.7,269,45,6.7,1.1,1.0,688,53,17.2,1.3,2.5,31668,180,791.7,4.5,3.6,375,59,9.4,1.5,1.5,19435,159,485.9,4.0,1.3,1739,65,43.5,1.6,0.7,3665,79,91.6,2.0,0.7,131,50,3.3,1.2,1.2,-256,109,-6.4,2.7,0.7,975,74,24.4,1.9,0.5,2090,102,52.2,2.5,1.8,50798,263,1269.9,6.6,0.6,662,156,16.6,3.9,0.8,3863,235,96.6,5.9,0.5,781,346,19.5,8.6,2.3,95965,656,2399.12,16.39,1.8,208211,1095,5205.28,27.36,0.0,5987,1473,149.66,36.83,0.5,66,50,1.6,1.3,1.2,2026,92,50.6,2.3,0.6,105,100,2.6,2.5
ZH19-35!0!0!  65.0!2019-09-10!21-29-58!40!30!2000!65.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  65.0,65.0,40,53,XRay Tube Generator,7.55E+04,1.4,869,68,21.7,1.7,24.1,169923,401,4248.08,10.03,67.9,1414,101,35.4,2.5,0.5,675,54,16.9,1.4,0.4,198,45,4.9,1.1,0.4,171,44,4.3,1.1,0.5,769,53,19.2,1.3,2.4,36312,191,907.8,4.8,4.9,452,60,11.3,1.5,0.7,19093,157,477.3,3.9,0.9,1815,67,45.4,1.7,0.9,4652,85,116.3,2.1,0.3,114,51,2.9,1.3,0.8,-169,116,-4.2,2.9,0.5,1045,76,26.1,1.9,0.4,1898,103,47.5,2.6,2.0,52293,266,1307.3,6.7,0.6,859,160,21.5,4.0,0.4,5327,240,133.2,6.0,0.9,1100,349,27.5,8.7,2.3,98247,663,2456.18,16.57,1.6,211080,1112,5276.99,27.80,0.0,5402,1497,135.05,37.43,0.6,16,51,0.4,1.3,0.9,2428,99,60.7,2.5,0.4,148,101,3.7,2.5
ZH19-35!0!0!  70.0!2019-09-10!21-31-00!40!30!2000!70.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  70.0,70.0,40,53,XRay Tube Generator,7.78E+04,1.5,1066,69,26.6,1.7,25.9,177782,410,4444.55,10.24,54.4,1475,103,36.9,2.6,0.5,744,56,18.6,1.4,0.6,135,46,3.4,1.1,0.6,210,46,5.2,1.2,0.7,699,54,17.5,1.3,2.4,40752,202,1018.8,5.0,6.6,578,63,14.4,1.6,1.3,19486,158,487.1,4.0,0.4,1925,68,48.1,1.7,1.7,5089,88,127.2,2.2,0.5,2,51,0.0,1.3,0.6,-34,125,-0.9,3.1,1.1,978,77,24.4,1.9,0.9,2318,105,57.9,2.6,2.4,55368,272,1384.2,6.8,0.9,909,162,22.7,4.0,0.6,6321,247,158.0,6.2,0.5,529,353,13.2,8.8,3.4,100623,671,2515.58,16.78,2.4,214387,1122,5359.68,28.06,0.0,6204,1511,155.10,37.78,0.9,57,53,1.4,1.3,0.7,3281,106,82.0,2.6,0.5,223,101,5.6,2.5
ZH19-35!0!0!  75.0!2019-09-10!21-32-03!40!30!2000!75.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  75.0,75.0,40,54,XRay Tube Generator,7.99E+04,1.6,1283,74,32.1,1.8,28.4,186461,420,4661.52,10.50,62.9,1646,107,41.1,2.7,1.0,874,59,21.9,1.5,0.4,197,47,4.9,1.2,0.3,296,47,7.4,1.2,0.5,757,55,18.9,1.4,3.8,53557,229,1338.9,5.7,8.5,672,67,16.8,1.7,1.1,19665,157,491.6,3.9,1.2,2152,69,53.8,1.7,0.4,6343,96,158.6,2.4,0.3,71,53,1.8,1.3,0.7,-403,136,-10.1,3.4,0.7,1059,79,26.5,2.0,0.5,2731,108,68.3,2.7,1.1,60239,281,1506.0,7.0,0.6,971,164,24.3,4.1,1.2,6051,249,151.3,6.2,0.6,946,356,23.6,8.9,2.1,105076,678,2626.89,16.94,1.8,217418,1132,5435.46,28.29,0.0,4032,1551,100.79,38.77,0.5,132,55,3.3,1.4,0.7,4822,116,120.5,2.9,0.7,184,102,4.6,2.6
ZH19-35!0!0!  80.0!2019-09-10!21-33-07!40!30!2000!80.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  80.0,80.0,40,55,XRay Tube Generator,8.33E+04,1.8,1255,73,31.4,1.8,27.1,183746,417,4593.66,10.43,67.3,1421,107,35.5,2.7,0.6,924,60,23.1,1.5,1.3,117,47,2.9,1.2,0.7,378,48,9.5,1.2,0.6,769,56,19.2,1.4,2.7,54110,231,1352.7,5.8,6.8,753,69,18.8,1.7,1.7,20294,159,507.3,4.0,1.1,2421,73,60.5,1.8,2.0,8636,107,215.9,2.7,1.0,61,54,1.5,1.3,0.5,-762,144,-19.0,3.6,0.8,947,80,23.7,2.0,1.3,3055,112,76.4,2.8,2.7,64252,290,1606.3,7.3,0.5,850,167,21.3,4.2,0.6,6176,253,154.4,6.3,0.4,684,361,17.1,9.0,3.2,108436,692,2710.90,17.30,2.2,227418,1154,5685.44,28.85,0.0,5514,1539,137.86,38.47,0.8,203,55,5.1,1.4,0.5,5866,123,146.6,3.1,0.8,66,105,1.6,2.6
ZH19-35!0!0!  85.0!2019-09-10!21-34-12!40!30!2000!85.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  85.0,85.0,40,56,XRay Tube Generator,8.85E+04,0.4,1322,75,33.1,1.9,26.9,173132,406,4328.29,10.15,63.7,1559,106,39.0,2.6,1.1,1078,63,27.0,1.6,0.3,120,50,3.0,1.2,0.7,457,51,11.4,1.3,0.3,882,58,22.1,1.4,4.8,70785,262,1769.6,6.5,16.7,829,72,20.7,1.8,0.7,20476,158,511.9,3.9,0.7,2734,76,68.4,1.9,0.8,12069,123,301.7,3.1,1.1,-60,57,-1.5,1.4,1.8,-1158,155,-29.0,3.9,0.7,1040,83,26.0,2.1,0.6,3550,116,88.8,2.9,1.4,68556,298,1713.9,7.5,0.8,1146,170,28.6,4.3,1.0,7513,260,187.8,6.5,0.4,1042,372,26.1,9.3,3.6,115329,713,2883.24,17.82,3.0,241748,1191,6043.69,29.78,0.0,4808,1569,120.19,39.22,0.4,86,59,2.2,1.5,1.7,7550,132,188.8,3.3,0.6,165,106,4.1,2.7
ZH19-35!0!0!  90.0!2019-09-10!21-35-17!40!30!2000!90.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  90.0,90.0,40,56,XRay Tube Generator,8.90E+04,0.9,1315,75,32.9,1.9,25.8,169434,402,4235.85,10.05,62.9,1672,106,41.8,2.7,0.8,973,62,24.3,1.5,0.8,200,49,5.0,1.2,0.7,417,51,10.4,1.3,0.5,869,58,21.7,1.4,4.7,68991,258,1724.8,6.5,14.1,848,72,21.2,1.8,1.5,20682,159,517.1,4.0,1.3,2770,77,69.3,1.9,1.1,12543,124,313.6,3.1,0.8,-3,56,-0.1,1.4,0.9,-888,155,-22.2,3.9,0.6,1018,83,25.4,2.1,0.6,3606,117,90.1,2.9,2.0,68399,298,1710.0,7.5,0.4,1082,173,27.1,4.3,0.7,7261,260,181.5,6.5,0.3,1011,372,25.3,9.3,4.4,115920,718,2898.00,17.96,3.2,240096,1185,6002.39,29.62,0.0,3972,1566,99.30,39.14,0.7,50,58,1.3,1.5,1.0,7465,132,186.6,3.3,0.7,356,108,8.9,2.7
ZH19-35!0!0!  95.0!2019-09-10!21-36-23!40!30!2000!95.0!0.0!Pd-Thin!5.0!12.0!Run2!Rep0!Sett Middle.spe,  95.0,95.0,40,56,XRay Tube Generator,8.85E+04,0.8,1263,75,31.6,1.9,26.5,183251,417,4581.27,10.43,62.8,1573,108,39.3,2.7,1.3,1014,62,25.4,1.5,0.4,241,50,6.0,1.3,0.5,481,52,12.0,1.3,0.8,869,58,21.7,1.5,4.6,66923,255,1673.1,6.4,12.5,970,74,24.3,1.8,1.0,20265,158,506.6,4.0,1.0,2733,76,68.3,1.9,0.9,13009,126,325.2,3.2,0.9,-55,57,-1.4,1.4,0.7,-973,158,-24.3,4.0,0.7,691,82,17.3,2.0,1.4,3625,117,90.6,2.9,2.2,69197,299,1729.9,7.5,0.9,1092,170,27.3,4.3,0.4,8192,260,204.8,6.5,0.8,861,367,21.5,9.2,3.1,115737,713,2893.43,17.81,3.0,233891,1189,5847.27,29.73,0.0,6157,1578,153.91,39.46,0.7,121,58,3.0,1.5,0.6,7834,135,195.8,3.4,0.6,257,106,6.4,2.6
