" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Br-Ka Chi2" ," Br-Ka Area" ," Br-Ka AreaStd" ," Br-Ka cps" ," Br-Ka cpsStd" ," Rb-Ka Chi2" ," Rb-Ka Area" ," Rb-Ka AreaStd" ," Rb-Ka cps" ," Rb-Ka cpsStd" ," Sr-Ka Chi2" ," Sr-Ka Area" ," Sr-Ka AreaStd" ," Sr-Ka cps" ," Sr-Ka cpsStd" ," Y -Ka Chi2" ," Y -Ka Area" ," Y -Ka AreaStd" ," Y -Ka cps" ," Y -Ka cpsStd" ," Zr-Ka Chi2" ," Zr-Ka Area" ," Zr-Ka AreaStd" ," Zr-Ka cps" ," Zr-Ka cpsStd" ," Mo-Ka Chi2" ," Mo-Ka Area" ," Mo-Ka AreaStd" ," Mo-Ka cps" ," Mo-Ka cpsStd" ," Rh-Ka-Coh Chi2" ," Rh-Ka-Coh Area" ," Rh-Ka-Coh AreaStd" ," Rh-Ka-Coh cps" ," Rh-Ka-Coh cpsStd" ," Rh-Ka-Inc Chi2" ," Rh-Ka-Inc Area" ," Rh-Ka-Inc AreaStd" ," Rh-Ka-Inc cps" ," Rh-Ka-Inc cpsStd" ," Ag-Ka-Coh Chi2" ," Ag-Ka-Coh Area" ," Ag-Ka-Coh AreaStd" ," Ag-Ka-Coh cps" ," Ag-Ka-Coh cpsStd" ," I -Ka Chi2" ," I -Ka Area" ," I -Ka AreaStd" ," I -Ka cps" ," I -Ka cpsStd" ," Ba-Ka Chi2" ," Ba-Ka Area" ," Ba-Ka AreaStd" ," Ba-Ka cps" ," Ba-Ka cpsStd" 
ZH19-35!0!0!  53.0!2019-09-11!00-22-25!50!50!2000!53.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  53.0,53.0,50,84,XRay Tube Generator,1.07E+05,0.5,148,69,3.0,1.4,0.5,520,74,10.4,1.5,0.5,3768,95,75.4,1.9,0.7,32,72,0.6,1.4,0.3,1530,89,30.6,1.8,0.9,258,87,5.2,1.7,19.6,4055,186,81.1,3.7,0.7,1162,188,23.2,3.8,71.2,3077043,1653,61540.85,33.06,0.8,1855,192,37.1,3.8,0.8,13633,319,272.7,6.4
ZH19-35!0!0!  55.0!2019-09-11!00-24-00!50!50!2000!55.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  55.0,55.0,50,83,XRay Tube Generator,1.05E+05,0.8,-13,67,-0.3,1.3,0.7,373,74,7.5,1.5,1.0,5751,106,115.0,2.1,0.7,26,73,0.5,1.5,0.9,1409,91,28.2,1.8,0.8,-223,85,-4.5,1.7,16.6,3501,183,70.0,3.7,8.3,29809,1234,596.18,24.69,49.6,3076610,1652,61532.20,33.03,1.6,1089,180,21.8,3.6,0.6,8493,299,169.9,6.0
ZH19-35!0!0!  60.0!2019-09-11!00-25-30!50!50!2000!60.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  60.0,60.0,50,82,XRay Tube Generator,1.03E+05,0.5,64,68,1.3,1.4,0.8,418,74,8.4,1.5,2.4,8667,119,173.3,2.4,0.4,-43,73,-0.9,1.5,0.9,1742,93,34.8,1.9,0.5,-110,86,-2.2,1.7,13.5,3222,181,64.4,3.6,7.2,32367,1293,647.35,25.85,49.5,3077531,1651,61550.62,33.01,1.3,1075,165,21.5,3.3,0.5,1842,265,36.8,5.3
ZH19-35!0!0!  65.0!2019-09-11!00-27-00!50!50!2000!65.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  65.0,65.0,50,82,XRay Tube Generator,1.03E+05,0.5,-1,67,-0.0,1.3,0.3,489,76,9.8,1.5,4.9,8758,121,175.2,2.4,0.5,-164,74,-3.3,1.5,1.0,1781,96,35.6,1.9,0.4,-210,87,-4.2,1.7,16.8,2939,181,58.8,3.6,7.7,48458,1801,969.16,36.02,49.3,3093135,1657,61862.70,33.14,2.1,1315,169,26.3,3.4,0.5,2483,269,49.7,5.4
ZH19-35!0!0!  70.0!2019-09-11!00-28-30!50!50!2000!70.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  70.0,70.0,50,83,XRay Tube Generator,1.04E+05,0.7,127,69,2.5,1.4,0.7,450,76,9.0,1.5,2.7,9314,122,186.3,2.4,0.6,-26,75,-0.5,1.5,1.0,2067,98,41.3,2.0,0.5,-160,88,-3.2,1.8,14.8,3037,181,60.7,3.6,7.2,79033,2431,1580.67,48.61,43.6,3097754,1656,61955.07,33.13,3.3,1928,172,38.6,3.4,0.5,2295,271,45.9,5.4
ZH19-35!0!0!  75.0!2019-09-11!00-30-00!50!50!2000!75.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  75.0,75.0,50,83,XRay Tube Generator,1.05E+05,0.3,272,69,5.4,1.4,0.9,724,77,14.5,1.5,13.7,10307,126,206.1,2.5,0.9,381,76,7.6,1.5,1.3,2332,99,46.6,2.0,0.4,101,87,2.0,1.7,16.4,3625,181,72.5,3.6,0.0,16578,1,331.564,0.017,48.3,3103344,1661,62066.88,33.23,4.9,4070,179,81.4,3.6,0.5,3326,278,66.5,5.6
ZH19-35!0!0!  80.0!2019-09-11!00-31-34!50!50!2000!80.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  80.0,80.0,50,84,XRay Tube Generator,1.07E+05,0.8,115,69,2.3,1.4,0.9,725,78,14.5,1.6,9.0,10858,128,217.2,2.6,0.6,131,77,2.6,1.5,1.7,2041,100,40.8,2.0,0.3,-351,87,-7.0,1.7,17.6,3004,181,60.1,3.6,8.9,51644,1645,1032.88,32.90,38.6,3111116,1661,62222.31,33.21,9.7,4685,186,93.7,3.7,0.5,2041,282,40.8,5.6
ZH19-35!0!0!  85.0!2019-09-11!00-33-08!50!50!2000!85.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  85.0,85.0,50,86,XRay Tube Generator,1.09E+05,0.5,113,71,2.3,1.4,1.3,566,80,11.3,1.6,18.6,11609,133,232.2,2.7,0.3,1,78,0.0,1.6,2.4,2539,103,50.8,2.1,0.5,-271,91,-5.4,1.8,14.1,2297,184,45.9,3.7,11.7,48815,1580,976.29,31.61,37.1,3130824,1669,62616.47,33.39,15.4,6379,200,127.6,4.0,0.8,2151,292,43.0,5.8
ZH19-35!0!0!  90.0!2019-09-11!00-34-41!50!50!2000!90.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  90.0,90.0,50,86,XRay Tube Generator,1.09E+05,0.5,225,75,4.5,1.5,0.9,986,84,19.7,1.7,17.8,11671,136,233.4,2.7,0.8,424,82,8.5,1.6,1.9,2523,106,50.5,2.1,0.3,251,93,5.0,1.9,17.6,3808,191,76.2,3.8,1.2,518,195,10.4,3.9,908.3,3113252,1668,62265.04,33.36,10.4,7215,201,144.3,4.0,0.9,4757,302,95.1,6.0
ZH19-35!0!0!  95.0!2019-09-11!00-36-14!50!50!2000!95.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  95.0,95.0,50,86,XRay Tube Generator,1.09E+05,0.5,32,71,0.6,1.4,0.7,819,81,16.4,1.6,22.5,11691,134,233.8,2.7,0.6,-96,79,-1.9,1.6,2.9,2336,103,46.7,2.1,0.4,-206,91,-4.1,1.8,14.6,2927,183,58.5,3.7,12.1,46010,1541,920.20,30.82,36.3,3111943,1664,62238.87,33.29,17.6,6850,199,137.0,4.0,0.7,3021,296,60.4,5.9
