" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Sn-Ka Chi2" ," Sn-Ka Area" ," Sn-Ka AreaStd" ," Sn-Ka cps" ," Sn-Ka cpsStd" 
ZH19-35!0!0!  53.0!2019-09-11!00-22-25!50!50!2000!53.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  53.0,53.0,50,84,XRay Tube Generator,1.07E+05,281.8,446271,703,8925.41,14.05
ZH19-35!0!0!  55.0!2019-09-11!00-24-00!50!50!2000!55.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  55.0,55.0,50,83,XRay Tube Generator,1.05E+05,272.1,447661,703,8953.22,14.06
ZH19-35!0!0!  60.0!2019-09-11!00-25-30!50!50!2000!60.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  60.0,60.0,50,82,XRay Tube Generator,1.03E+05,310.3,448989,702,8979.77,14.05
ZH19-35!0!0!  65.0!2019-09-11!00-27-00!50!50!2000!65.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  65.0,65.0,50,82,XRay Tube Generator,1.03E+05,260.2,451599,705,9031.98,14.09
ZH19-35!0!0!  70.0!2019-09-11!00-28-30!50!50!2000!70.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  70.0,70.0,50,83,XRay Tube Generator,1.04E+05,261.9,455450,708,9109.01,14.16
ZH19-35!0!0!  75.0!2019-09-11!00-30-00!50!50!2000!75.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  75.0,75.0,50,83,XRay Tube Generator,1.05E+05,371.8,459738,713,9194.77,14.26
ZH19-35!0!0!  80.0!2019-09-11!00-31-34!50!50!2000!80.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  80.0,80.0,50,84,XRay Tube Generator,1.07E+05,413.2,467868,720,9357.36,14.41
ZH19-35!0!0!  85.0!2019-09-11!00-33-08!50!50!2000!85.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  85.0,85.0,50,86,XRay Tube Generator,1.09E+05,567.4,480171,732,9603.42,14.65
ZH19-35!0!0!  90.0!2019-09-11!00-34-41!50!50!2000!90.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  90.0,90.0,50,86,XRay Tube Generator,1.09E+05,515.3,474998,728,9499.96,14.56
ZH19-35!0!0!  95.0!2019-09-11!00-36-14!50!50!2000!95.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe,  95.0,95.0,50,86,XRay Tube Generator,1.09E+05,572.7,478897,731,9577.95,14.63
ZH19-35!0!0! 100.0!2019-09-11!00-37-47!50!50!2000!100.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 100.0,100.0,50,86,XRay Tube Generator,1.08E+05,345.6,477284,729,9545.69,14.58
ZH19-35!0!0! 105.0!2019-09-11!00-39-20!50!50!2000!105.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 105.0,105.0,50,85,XRay Tube Generator,1.08E+05,482.2,468885,723,9377.71,14.45
ZH19-35!0!0! 110.0!2019-09-11!00-40-53!50!50!2000!110.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 110.0,110.0,50,85,XRay Tube Generator,1.08E+05,397.5,464718,719,9294.37,14.37
ZH19-35!0!0! 115.0!2019-09-11!00-42-26!50!50!2000!115.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 115.0,115.0,50,85,XRay Tube Generator,1.07E+05,376.3,460127,714,9202.54,14.28
ZH19-35!0!0! 120.0!2019-09-11!00-43-59!50!50!2000!120.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 120.0,120.0,50,86,XRay Tube Generator,1.08E+05,518.2,475092,728,9501.85,14.56
ZH19-35!0!0! 125.0!2019-09-11!00-45-32!50!50!2000!125.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 125.0,125.0,50,86,XRay Tube Generator,1.09E+05,478.9,491764,743,9835.28,14.85
ZH19-35!0!0! 130.0!2019-09-11!00-47-05!50!50!2000!130.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 130.0,130.0,50,86,XRay Tube Generator,1.09E+05,457.8,485450,737,9709.01,14.74
ZH19-35!0!0! 135.0!2019-09-11!00-48-38!50!50!2000!135.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 135.0,135.0,50,86,XRay Tube Generator,1.09E+05,620.4,507935,756,10158.70,15.12
ZH19-35!0!0! 140.0!2019-09-11!00-50-11!50!50!2000!140.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 140.0,140.0,50,87,XRay Tube Generator,1.11E+05,1624.3,573558,813,11471.17,16.27
ZH19-35!0!0! 145.0!2019-09-11!00-51-45!50!50!2000!145.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 145.0,145.0,50,87,XRay Tube Generator,1.11E+05,1580.4,568516,809,11370.32,16.17
ZH19-35!0!0! 150.0!2019-09-11!00-53-21!50!50!2000!150.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 150.0,150.0,50,89,XRay Tube Generator,1.15E+05,1532.9,730544,919,14610.88,18.38
ZH19-35!0!0! 155.0!2019-09-11!00-54-58!50!50!2000!155.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 155.0,155.0,50,89,XRay Tube Generator,1.16E+05,1402.7,777483,947,15549.66,18.94
ZH19-35!0!0! 160.0!2019-09-11!00-56-34!50!50!2000!160.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 160.0,160.0,50,89,XRay Tube Generator,1.16E+05,1414.6,774895,945,15497.90,18.90
ZH19-35!0!0! 165.0!2019-09-11!00-58-11!50!50!2000!165.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 165.0,165.0,50,89,XRay Tube Generator,1.16E+05,1469.5,752610,933,15052.20,18.66
ZH19-35!0!0! 170.0!2019-09-11!00-59-46!50!50!2000!170.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 170.0,170.0,50,88,XRay Tube Generator,1.14E+05,1736.4,634784,858,12695.68,17.16
ZH19-35!0!0! 175.0!2019-09-11!01-01-22!50!50!2000!175.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 175.0,175.0,50,89,XRay Tube Generator,1.14E+05,1673.3,685892,892,13717.85,17.85
ZH19-35!0!0! 180.0!2019-09-11!01-03-04!50!50!2000!180.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 180.0,180.0,50,93,XRay Tube Generator,1.23E+05,949.9,1079575,1109,21591.50,22.18
ZH19-35!0!0! 185.0!2019-09-11!01-04-42!50!50!2000!185.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 185.0,185.0,50,92,XRay Tube Generator,1.22E+05,994.2,1050858,1095,21017.16,21.90
ZH19-35!0!0! 190.0!2019-09-11!01-06-19!50!50!2000!190.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 190.0,190.0,50,90,XRay Tube Generator,1.18E+05,1166.3,897982,1017,17959.64,20.34
ZH19-35!0!0! 195.0!2019-09-11!01-07-57!50!50!2000!195.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 195.0,195.0,50,91,XRay Tube Generator,1.19E+05,1193.2,884188,1009,17683.77,20.18
ZH19-35!0!0! 200.0!2019-09-11!01-09-37!50!50!2000!200.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 200.0,200.0,50,92,XRay Tube Generator,1.20E+05,1148.4,934807,1036,18696.14,20.72
ZH19-35!0!0! 205.0!2019-09-11!01-11-18!50!50!2000!205.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 205.0,205.0,50,94,XRay Tube Generator,1.25E+05,903.9,1138189,1137,22763.77,22.74
ZH19-35!0!0! 210.0!2019-09-11!01-13-00!50!50!2000!210.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 210.0,210.0,50,96,XRay Tube Generator,1.28E+05,821.3,1268136,1197,25362.71,23.95
